Timestamp,Kelompok_Usia,Jenis_Pekerjaan,Pernah_Pakai_QRIS,Alasan_Menggunakan,Metode_pembayaran,Tingkat_Efisiensi_QRIS,Kendala_Qris,Metode_Bayar_PBB,Saran_Meningkatkan_Adopsi_QRIS
2025/03/10 7:54:26 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Melalui-QRIS-atau-virtual-account,Lebih banyak edukasi sosial serta banyaknya tempat yang tersedia Qris
2025/03/10 7:54:55 am GMT+7,Generasi Y,PNS,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)",Promosi yg besar-besaran terkait ketersediaan QRIS
2025/03/10 7:55:27 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Other,3,Other,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,perbanyak tempat untuk menggunakan qris
2025/03/10 7:55:56 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Terbuka akan perubahan zaman
2025/03/10 7:57:18 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,penyuluhan dan penyediaan fasilitas pendukung yang masif serta peningkatan keamanan bagi penjual dan pembeli agar dapat meningkatkan pengguna qrish
2025/03/10 7:57:43 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,"Pendapat saya, pentingnya edukasi kepada merchant, terutama umkm akan sangat membantu meningkatkan jumlah pengguna pembayaran digital. Karena kebanyakan merchant atau umkm tidak memiliki pemahaman yang kuat dan mendasar terkait penggunaan pembayaran digital."
2025/03/10 7:58:43 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,3,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,harus mempunyai mbanking dan edukasi terutama ke orang tua tentang cara penggunaannya
2025/03/10 7:59:14 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,di terapkannya di setiap tempat memiliki QRIS dan mendedikasi masyarakat untuk melakukan transaksi dengan mudah dan cepat dengan QRIS
2025/03/10 8:01:10 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Saya-belum-pernah-membayar-pajak-daerah,"Edukasi mengenai kemudahan, keamanan yang lebih luas terutama pada generasi yang sudah lebih tua mengenai penggunaan QRIS (di beberapa kasus yang saya tau mereka mempunyai virtual bank namun tidak tau cara menggunakan qris)"
2025/03/10 8:02:03 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,"dengan memberikan edukasi bahwa pembayaran melalui qris sangat membantu jika pribadi tidak memiliki cash dan jg menjelaskan kelebihan"" menggunakan qris"
