Timestamp,Kelompok_Usia,Jenis_Pekerjaan,Pernah_Pakai_QRIS,Alasan_Menggunakan,Metode_pembayaran,Tingkat_Efisiensi_QRIS,Kendala_Qris,Metode_Bayar_PBB,Saran_Meningkatkan_Adopsi_QRIS
2025/03/10 7:54:26 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Melalui-QRIS-atau-virtual-account,Lebih banyak edukasi sosial serta banyaknya tempat yang tersedia Qris
2025/03/10 7:54:55 am GMT+7,Generasi Y,PNS,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)",Promosi yg besar-besaran terkait ketersediaan QRIS
2025/03/10 7:55:06 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,kampanye/promosi yg lebih masif
2025/03/10 7:55:27 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,Other,3,Other,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,perbanyak tempat untuk menggunakan qris
2025/03/10 7:55:44 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-minimarket-atau-kantor-pos-(Indomaret,-Alfamart,-Kantor-Pos)","Memperluas fasilitas disetiap pembayaran, karena tidak semua tempat memiliki qris dan juga edukasi terhadap konsumen tentang cara menggunakan qris"
2025/03/10 7:55:55 am GMT+7,Generasi Y,IRT,Tidak,Tidak-ada-e-wallet,Tunai,3,Kurang-edukasi,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Diperbanyak edukasi/informasi
2025/03/10 7:55:56 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-bank-(ATM,-teller,-mobile-banking,-internet-banking)",Terbuka akan perubahan zaman
2025/03/10 7:56:41 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,Melalui-kantor-pajak-daerah-atau-unit-pelayanan-pajak-setempat,"Perlunya sosialisai dan edukasi kepada masyarakat mengenai apa kegunaan dan manfaat Qris, kemudahan akses di setiap tempat seperti (transportasi, pasar, resto, hingga layanan publik),Bekerja sama dengan bank dan penyedia layanan digital untuk memperluas jangkauan QRIS."
2025/03/10 7:56:45 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,Tidak-semua-terima-QRIS,"Melalui-marketplace-atau-dompet-digital-(Tokopedia,-Shopee,-Gopay,-OVO,-dll.)","Memberikan edukasi secara lebih luas dan merata mengenai penggunaan qris kepada khalayak umum, mempromosikan pun juga memperkenalkan qris dan cara penggunaannya, menjelaskan kelebihan penggunaan qris, menurut saya cara ini bisa dilakukan karena dengan memberikan informasi kepada orang lain berarti juga mengajak orang tersebut untuk sama-sama mencoba atau mulai menggunakan qris dalam keseharian mereka"
2025/03/10 7:57:18 am GMT+7,Generasi Z,Mahasiswa,Ya,Praktis-Cepat,QRIS,4,jaringan-kurang-stabil,Saya-belum-pernah-membayar-pajak-daerah,penyuluhan dan penyediaan fasilitas pendukung yang masif serta peningkatan keamanan bagi penjual dan pembeli agar dapat meningkatkan pengguna qrish
